"","location","hits","keyword","geo","gprop"
"44","Oklahoma",46,"vegetarian","US","web"
"45","Arkansas",44,"vegetarian","US","web"
"46","Louisiana",44,"vegetarian","US","web"
"47","West Virginia",43,"vegetarian","US","web"
"48","Alabama",40,"vegetarian","US","web"
"49","North Dakota",39,"vegetarian","US","web"
"50","South Dakota",39,"vegetarian","US","web"
"51","Mississippi",36,"vegetarian","US","web"
